epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,137.443,0.43393,1.07653,0.75521,0.93308,0.94667,0.90317,0.96722,0.96722,0.94667,0.90317,0.96722,0.79335,0.23154,0.92867,0.88224,0.80053,0.000358,0.000358,0.000358
57,140.379,0.61083,1.3717,0.91999,0.98622,0.91707,0.96341,0.995,0.995,0.91707,0.96341,0.995,0.83566,0.21877,0.85422,0.83595,0.79711,0.000356587,0.000356587,0.000356587
58,143.288,0.4466,1.24703,0.83697,0.86792,0.91707,0.96341,0.995,0.995,0.91707,0.96341,0.995,0.83566,0.21877,0.85422,0.83595,0.79711,0.000354891,0.000354891,0.000354891
59,145.991,0.3666,1.16611,0.69392,0.86748,0.91707,0.96341,0.995,0.995,0.91707,0.96341,0.995,0.83566,0.21877,0.85422,0.83595,0.79711,0.000352912,0.000352912,0.000352912
60,148.906,0.3894,1.13247,0.70926,0.96278,0.91873,0.99114,0.995,0.98437,0.91873,0.99114,0.995,0.83561,0.22907,0.85153,0.798,0.79868,0.000350649,0.000350649,0.000350649
61,151.686,0.40272,0.99534,0.83844,0.88614,0.91873,0.99114,0.995,0.98437,0.91873,0.99114,0.995,0.83561,0.22907,0.85153,0.798,0.79868,0.000348104,0.000348104,0.000348104
62,154.613,0.29277,0.73963,0.711,0.84241,0.91873,0.99114,0.995,0.98437,0.91873,0.99114,0.995,0.83561,0.22907,0.85153,0.798,0.79868,0.000345276,0.000345276,0.000345276
63,157.798,0.33621,1.03759,0.68937,0.84806,0.95037,0.99128,0.995,0.97443,0.95037,0.99128,0.995,0.80759,0.24926,0.91828,0.78463,0.80358,0.000342165,0.000342165,0.000342165
64,160.721,0.44759,1.29715,0.81952,0.96194,0.95037,0.99128,0.995,0.97443,0.95037,0.99128,0.995,0.80759,0.24926,0.91828,0.78463,0.80358,0.000338772,0.000338772,0.000338772
65,163.522,0.40851,1.21536,0.7323,0.9181,0.95037,0.99128,0.995,0.97443,0.95037,0.99128,0.995,0.80759,0.24926,0.91828,0.78463,0.80358,0.000335095,0.000335095,0.000335095
66,166.566,0.37356,0.97862,0.71953,0.88728,0.97798,0.99937,0.995,0.96689,0.97798,0.99937,0.995,0.80448,0.25721,0.97462,0.7929,0.8053,0.000331135,0.000331135,0.000331135
67,169.447,0.39707,1.14796,0.74629,0.87674,0.97798,0.99937,0.995,0.96689,0.97798,0.99937,0.995,0.80448,0.25721,0.97462,0.7929,0.8053,0.000326892,0.000326892,0.000326892
68,172.246,0.42827,1.51756,0.9112,0.97668,0.97798,0.99937,0.995,0.96689,0.97798,0.99937,0.995,0.80448,0.25721,0.97462,0.7929,0.8053,0.000322367,0.000322367,0.000322367
69,175.263,0.42251,1.09822,0.74967,0.90188,0.98175,0.98317,0.995,0.97843,0.98175,0.98317,0.995,0.81287,0.2566,0.93889,0.78561,0.80657,0.000317558,0.000317558,0.000317558
70,178.102,0.40582,0.99405,0.70374,0.89786,0.98175,0.98317,0.995,0.97843,0.98175,0.98317,0.995,0.81287,0.2566,0.93889,0.78561,0.80657,0.000312467,0.000312467,0.000312467
71,181.172,0.32045,0.95725,0.66364,0.85861,0.98175,0.98317,0.995,0.97843,0.98175,0.98317,0.995,0.81287,0.2566,0.93889,0.78561,0.80657,0.000307092,0.000307092,0.000307092
